license,name,tipo,categoria,rk_1,rk_2,nacionalidad,season,genre,category,team_id
10627,AARON MARTINEZ DIEZ,,SEN-M, 83.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
8679,AITOR DOMINGUEZ CALDERA,,SEN-M, 189.0 , 175.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
31718,CIRO TOBAR ORTIZ DE URBINA,,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
16514,GUSTAVO BRAVO RAMOS,,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
29713,IBAI TOBAR ARGAIZ,,INC-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
31717,IELTXU CORCHERO PEREZ,,JUC-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
28355,IGOR GARCIA ROBLES,,S23-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
31675,IKER ZABARTE ALONSO,,JUV-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
22310,IÑIGO LOPEZ ZABARTE,,V50-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
31674,ISMAEL CABEZA GALLEGO,,INF-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
4225,IXAI RODRIGUEZ PEREZ,,SEN-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
22309,JON IRIZAR INTXAUSTI,,V60-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
16747,JOSE ANTONIO BLANCO FERNANDEZ,,V50-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
10268,JOSE AUGUSTO ENA MARTINEZ,,SEN-M, 543.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
27533,JOSE RAMON MONTOYA GOMEZ,,V50-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
17776,MANUEL ALVAREZ DEL VAL,,V50-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
10747,PEDRO ALESON SAENZ DE LA CUESTA,,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
22308,ROBERTO BUSTILLO SAN JUAN,,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
22311,ROBERTO MONEO SANCHEZ,,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
18853,SAMUEL MARTINEZ DIEZ,,S23-M, 159.0 , 143.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
10624,VICTOR SOTO VELAZQUEZ,,V40-M, 130.0 , 131.0 ,ESPAÑOLA,2018-2019,male,segona-nacional,1509
