Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,JORGE LOPEZ RUIZ, 2804,JULEN LEGARRA ACERO, 2784,,,,,4-11,4-11,7-11,,,0-3,0 - 1
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,AITOR MARTINEZ SANCHEZ, 6260,ENEKO LOZANO SANCHEZ, 22701,,,,,7-11,9-11,9-11,,,0-3,0 - 2
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,ALEJANDRO SÁNCHEZ SOUSA, 20113,XABIER LEGARRA ACERO, 2527,,,,,5-11,7-11,8-11,,,0-3,0 - 3
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,JORGE LOPEZ RUIZ, 2804,ENEKO LOZANO SANCHEZ, 22701,,,,,11-9,11-4,11-5,,,3-0,1 - 3
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,ALEJANDRO SÁNCHEZ SOUSA, 20113,JULEN LEGARRA ACERO, 2784,,,,,2-11,2-11,4-11,,,0-3,1 - 4
singles,2,2018819,MANUFACTURAS DEPORTIVAS,2018807,IDK BERAUN- ERRENTERIA,AITOR MARTINEZ SANCHEZ, 6260,XABIER LEGARRA ACERO, 2527,,,,,8-11,11-3,10-12,8-11,,1-3,1 - 5
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ARKAITZ RODRIGUEZ ECHEGUREN, 8574,JORGE LOPEZ RUIZ, 2804,,,,,11-4,10-12,10-12,11-4,9-11,2-3,0 - 1
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ALVARO LOMBRAÑA ALCAIDE, 17772,DANIEL PALAZUELOS SAN FERMÍN, 19047,,,,,10-12,13-15,11-7,11-4,11-9,3-2,1 - 1
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ARKAITZ ALCUTEN FERNANDEZ DE OLANO, 21730,AITOR MARTINEZ SANCHEZ, 6260,,,,,11-5,11-5,11-7,,,3-0,2 - 1
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ARKAITZ RODRIGUEZ ECHEGUREN, 8574,DANIEL PALAZUELOS SAN FERMÍN, 19047,,,,,11-5,6-11,11-8,10-12,11-8,3-2,3 - 1
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ARKAITZ ALCUTEN FERNANDEZ DE OLANO, 21730,JORGE LOPEZ RUIZ, 2804,,,,,11-6,11-5,11-7,,,3-0,4 - 1
singles,3,859,FUENCAMPO - GASTEIZ,2018819,MANUFACTURAS DEPORTIVAS,ALVARO LOMBRAÑA ALCAIDE, 17772,AITOR MARTINEZ SANCHEZ, 6260,,,,,11-7,3-11,11-6,9-11,11-9,3-2,5 - 1
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,JORGE LOPEZ RUIZ, 2804,XUBAN ADRIAN GIRALDO, 21726,,,,,12-10,11-9,11-8,,,3-0,1 - 0
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,AITOR MARTINEZ SANCHEZ, 6260,ALEXANDER PARDO BELTRAN, 21760,,,,,8-11,6-11,10-12,,,0-3,1 - 1
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,DANIEL PALAZUELOS SAN FERMÍN, 19047,ANTONIO VARELA IZQUIERDO, 1764,,,,,7-11,14-12,13-11,12-10,,3-1,2 - 1
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,JORGE LOPEZ RUIZ, 2804,ALEXANDER PARDO BELTRAN, 21760,,,,,5-11,11-9,10-12,5-11,,1-3,2 - 2
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,DANIEL PALAZUELOS SAN FERMÍN, 19047,XUBAN ADRIAN GIRALDO, 21726,,,,,11-9,8-11,4-11,11-5,5-11,2-3,2 - 3
singles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,AITOR MARTINEZ SANCHEZ, 6260,ANTONIO VARELA IZQUIERDO, 1764,,,,,11-4,11-3,11-9,,,3-0,3 - 3
doubles,4,2018819,MANUFACTURAS DEPORTIVAS,16018,ATLETICO SAN SEBASTIAN,,,,,JORGE LOPEZ RUIZ,2804,AITOR MARTINEZ SANCHEZ,6260,9-11,8-11,6-11,,,0-3,3 - 4
