license,name,tipo,categoria,rk_1,rk_2,nacionalidad,season,genre,category,team_id
33885,ALEKSANDRA AGNIESZKA FALARZ ,A.2,SEN-F, 524.0 , 524.0 ,POLACA,2020-2021,female,super-divisio,1150
36095,ANA RIAZANOVA ,A.2,SEN-F, 2500.0 , 2704.0 ,RUSA,2020-2021,female,super-divisio,1150
3372,IRENE DEL VIGO SOTO,A.2,SEN-F, 906.0 , 906.0 ,ESPAÑOLA,2020-2021,female,super-divisio,1150
36096,MARIA VINOGRADOVA ,A.2,SEN-F, 1200.0 , 1456.0 ,RUSA,2020-2021,female,super-divisio,1150
2537,MIREIA JURADO CERDERA,A.2,SEN-F, 846.0 , 846.0 ,ESPAÑOLA,2020-2021,female,super-divisio,1150
16527,NATALIA MIRAMONTES MORCILO,A.2,S23-F, 1349.0 , 1397.0 ,ESPAÑOLA,2020-2021,female,super-divisio,1150
36635,SABINE JANE WINTER ,A.2,SEN-F, 0.0 , 2200.0 ,ALEMANA,2020-2021,female,super-divisio,1150
34956,SREEJA AKULA ,A.2,S23-F, 2700.0 , 2700.0 ,INDIA,2020-2021,female,super-divisio,1150
33821,TIJANA JOKIC ,A.2,S23-F, 2604.0 , 2604.0 ,SERBIA,2020-2021,female,super-divisio,1150
33819,YEE LOK LAM ,A.2,SEN-F, 3212.0 , 3212.0 ,OTRO PAIS EXT.,2020-2021,female,super-divisio,1150
