license,name,tipo,categoria,rk_1,rk_2,nacionalidad,season,genre,category,team_id
172,ADOLFO GOMEZ CARDENAS,A.1,V70-M, 0.0 , 0.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
4501,ADOLFO GOMEZ VILLARROEL,A.1,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
6179,ADRIAN MORATO VELASCO,A.2,SEN-M, 1564.0 , 1612.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
5790,CARLOS VEDRIEL SORIANO,A.2,S23-M, 1849.0 , 1849.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
2642,EDUARDO CUESTA MARTINEZ,A.2,SEN-M, 618.0 , 630.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
27229,GONZALO PEREZ CAMPOS,A.1,S23-M, 0.0 , 0.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
2726,JAVIER BENITO RODRIGUEZ,A.2,SEN-M, 2043.0 , 2043.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
5791,JORGE VEDRIEL SORIANO,A.1,SEN-M, 458.0 , 458.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
1948,RAUL DIAZ GUERRA,A.1,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
1427,TITO ROGGER CABEZAS PEÑA,A.1,V40-M, 0.0 , 0.0 ,ESPAÑOLA,2020-2021,male,divisio-honor,283
