Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"RODRIGUEZ CHALAIS, JORDI", 41770,"BALOGUN , RASHEED OLAMILEKAN", 41944,,,,,1-11,4-11,4-11,,,0-3,0 - 1
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"CRUSI LOPEZ, ADRIA", 41910,"PRIETO CAMPDEPADROS, ARNAU", 37193,,,,,7-11,4-11,11-9,6-11,,1-3,0 - 2
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"RODRIGUEZ CHALAIS, PATRICK", 41771,"VELEZ GONZALEZ, IVAN", 25634,,,,,11-9,11-6,8-11,11-13,11-13,2-3,0 - 3
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"RODRIGUEZ CHALAIS, JORDI", 41770,"PRIETO CAMPDEPADROS, ARNAU", 37193,,,,,7-11,10-12,11-9,4-11,,1-3,0 - 4
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"RODRIGUEZ CHALAIS, PATRICK", 41771,"BALOGUN , RASHEED OLAMILEKAN", 41944,,,,,3-11,5-11,6-11,,,0-3,0 - 5
singles,1,151,C.T.T. ATENEU 1882,50102,CLUB TENNIS TAULA ENCAMP,"CRUSI LOPEZ, ADRIA", 41910,"VELEZ GONZALEZ, IVAN", 25634,,,,,8-11,8-11,8-11,,,0-3,0 - 6
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"BLANCAFORT MUÑOZ, JOSEP MARIA", 16357,"BALOGUN , RASHEED OLAMILEKAN", 41944,,,,,6-11,9-11,9-11,,,0-3,0 - 1
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"MASIP HERNANDEZ, FRANCESC JOSEP", 15183,"ARAQUE ZAMORANO, ADRIAN", 2918,,,,,11-3,6-11,11-4,11-6,,3-1,1 - 1
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"RODRIGUEZ SANCHEZ, BORIS", 17717,"BONALUQUE GUARDIA, SERGIO", 25883,,,,,9-11,11-9,11-5,11-6,,3-1,2 - 1
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"BLANCAFORT MUÑOZ, JOSEP MARIA", 16357,"ARAQUE ZAMORANO, ADRIAN", 2918,,,,,15-13,12-10,8-11,7-11,11-7,3-2,3 - 1
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"RODRIGUEZ SANCHEZ, BORIS", 17717,"BALOGUN , RASHEED OLAMILEKAN", 41944,,,,,10-12,2-11,7-11,,,0-3,3 - 2
singles,2,151,C.T.T. ATENEU 1882,20233029,VALLS DEL NORD ORX,"MASIP HERNANDEZ, FRANCESC JOSEP", 15183,"BONALUQUE GUARDIA, SERGIO", 25883,,,,,7-11,12-10,11-5,11-6,,3-1,4 - 2
singles,3,16002,ICELAND TT ELS 8 LA GARRIGA,151,C.T.T. ATENEU 1882,"COROMINAS FERNANDEZ, ALBERT", 37294,"BALOGUN , RASHEED OLAMILEKAN", 41944,,,,,6-11,7-11,3-11,,,0-3,0 - 1
singles,3,16002,ICELAND TT ELS 8 LA GARRIGA,151,C.T.T. ATENEU 1882,"ARAGALL CHECA, NIL", 17979,"OSUNA CRUZ, FCO. JOSE", 1318,,,,,11-9,11-4,7-11,7-11,11-8,3-2,1 - 1
singles,3,16002,ICELAND TT ELS 8 LA GARRIGA,151,C.T.T. ATENEU 1882,"GUINART FONT, JOEL", 25818,"VELEZ GONZALEZ, IVAN", 25634,,,,,11-8,4-11,5-11,11-6,9-11,2-3,1 - 2
