Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 2 Name,Player 2 License,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,DAVID GARCIA GARCIA, 10839,ALBERTO OLMEDO OLMEDO, 14596,,,,,5-11,11-7,4-11,11-9,11-7,3-2,1 - 0
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,PEDRO NAVARRO SERRANO, 17801,ENRIQUE LIMONTA SAEZ, 23553,,,,,11-4,8-11,7-11,7-11,,1-3,1 - 1
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,JOSÉ ANTONIO IMEDIO PASAMÓN, 19671,VICTOR SANCHEZ LIZARAN, 22687,,,,,8-11,11-3,11-8,11-8,,3-1,2 - 1
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,DAVID GARCIA GARCIA, 10839,ENRIQUE LIMONTA SAEZ, 23553,,,,,8-11,5-11,3-11,,,0-3,2 - 2
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,JOSÉ ANTONIO IMEDIO PASAMÓN, 19671,ALBERTO OLMEDO OLMEDO, 14596,,,,,11-1,5-11,12-10,11-5,,3-1,3 - 2
singles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,PEDRO NAVARRO SERRANO, 17801,VICTOR SANCHEZ LIZARAN, 22687,,,,,11-9,6-11,11-5,4-11,5-11,2-3,3 - 3
doubles,1,2017349,CTM; EL PALMAR,977,ALSA-CITY CARTAGENA,,,,,DAVID GARCIA GARCIA,10839,JOSÉ ANTONIO IMEDIO PASAMÓN,19671,10-12,11-5,7-11,6-11,,1-3,3 - 4
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,ALBERTO RODRÍGUEZ HENARES, 10787,ENRIQUE LIMONTA SAEZ, 23553,,,,,9-11,10-12,10-12,,,0-3,0 - 1
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,FRANCISCO VIVANCOS PEREZ, 10788,ALEJANDRO MARIN RUBIO, 6031,,,,,8-11,9-11,11-7,10-12,,1-3,0 - 2
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,ADRIAN ANTEQUERA PALACIOS, 14895,VICTOR SANCHEZ LIZARAN, 22687,,,,,17-15,11-3,13-11,,,3-0,1 - 2
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,ALBERTO RODRÍGUEZ HENARES, 10787,ALEJANDRO MARIN RUBIO, 6031,,,,,11-6,8-11,9-11,11-8,10-12,2-3,1 - 3
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,ADRIAN ANTEQUERA PALACIOS, 14895,ENRIQUE LIMONTA SAEZ, 23553,,,,,11-8,13-11,11-6,,,3-0,2 - 3
singles,2,15,CTM VEGAS DEL GENIL,2017349,CTM; EL PALMAR,FRANCISCO VIVANCOS PEREZ, 10788,VICTOR SANCHEZ LIZARAN, 22687,,,,,7-11,6-11,10-12,,,0-3,2 - 4
singles,2,10399,BOLA DE PARTIDO LA ZUBIA,2017349,CTM; EL PALMAR,ENRIQUE LIMONTA SAEZ, 23553,SEBASTIAN DIAZ GARCIA, 2149,,,,,6-11,11-7,11-5,8-11,5-11,2-3,0 - 1
